dataset,condition,method,variant,classifier,method_key,seed,alpha,n_calib,n_train,n_test,n_test_null,n_test_alt,p_floor,bh_min_rank,in_matched_frame,frame_exact_match_frozen,jitter_scale,frac_unique_test_scores,max_tied_block,n_discoveries,realized_fdr,power,score_auroc,clf_partition_auc
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,2,0.1,2910,2000,10090,9340,750,0.00034352456200618345,35,True,False,0.0,0.9983151635282458,2,836,0.10287081339712918,1.0,0.999993147751606,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,2,0.1,2910,2000,10090,9340,750,0.00034352456200618345,35,True,False,0.0,0.9957383548067393,2,836,0.10287081339712918,1.0,0.999993147751606,0.5427639990089197
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,2,0.1,2910,2000,10090,9340,750,0.00034352456200618345,35,True,False,0.0,0.9910802775024777,3,822,0.08759124087591241,1.0,1.0,0.5746327304261645
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,2,0.1,2910,2000,10090,9340,750,0.00034352456200618345,35,True,False,0.0,0.9970267591674926,2,735,0.09523809523809523,0.8866666666666667,0.9947270521056388,0.5535713577799802
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,2,0.1,2910,2000,10090,9340,750,0.00034352456200618345,35,True,False,0.0,0.9915758176412289,3,834,0.10071942446043165,1.0,1.0,0.5749283448959366
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,3,0.1,2900,2000,10100,9350,750,0.0003447087211306446,35,True,False,0.0,0.9991089108910891,2,828,0.09420289855072464,1.0,0.999996862745098,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,3,0.1,2900,2000,10100,9350,750,0.0003447087211306446,35,True,False,0.0,0.9965346534653465,2,828,0.09420289855072464,1.0,0.999996862745098,0.538817599009901
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,3,0.1,2900,2000,10100,9350,750,0.0003447087211306446,35,True,False,0.0,0.9916831683168317,3,843,0.1103202846975089,1.0,1.0,0.5755408415841584
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,3,0.1,2900,2000,10100,9350,750,0.0003447087211306446,35,True,False,0.0,0.9959405940594059,2,683,0.08638360175695461,0.832,0.9940985383244206,0.5499115346534653
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,3,0.1,2900,2000,10100,9350,750,0.0003447087211306446,35,True,False,0.0,0.9912871287128713,3,848,0.11556603773584906,1.0,1.0,0.5761177722772277
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,4,0.1,2860,2000,10140,9390,750,0.0003495281370150297,36,True,False,0.0,0.9980276134122288,2,840,0.10714285714285714,1.0,0.9999971600993965,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,4,0.1,2860,2000,10140,9390,750,0.0003495281370150297,36,True,False,0.0,0.9952662721893492,2,840,0.10714285714285714,1.0,0.9999971600993965,0.537582100591716
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,4,0.1,2860,2000,10140,9390,750,0.0003495281370150297,36,True,False,0.0,0.9912228796844181,3,803,0.0660024906600249,1.0,1.0,0.5812722879684418
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,4,0.1,2860,2000,10140,9390,750,0.0003495281370150297,36,True,False,0.0,0.9962524654832348,2,625,0.1024,0.748,0.9865422790202343,0.546216050295858
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,4,0.1,2860,2000,10140,9390,750,0.0003495281370150297,36,True,False,0.0,0.9932938856015779,3,820,0.08536585365853659,1.0,1.0,0.5810827662721894
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,5,0.1,2813,2000,10187,9437,750,0.00035536602700781805,37,True,False,0.0,0.9986256994208305,2,807,0.07063197026022305,1.0,0.9999953375013245,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,5,0.1,2813,2000,10187,9437,750,0.00035536602700781805,37,True,False,0.0,0.9953862766270737,3,807,0.07063197026022305,1.0,0.9999953375013245,0.5267007705899676
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,5,0.1,2813,2000,10187,9437,750,0.00035536602700781805,37,True,False,0.0,0.9933248257583194,3,824,0.08980582524271845,1.0,1.0,0.5832566506331599
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,5,0.1,2813,2000,10187,9437,750,0.00035536602700781805,37,True,False,0.0,0.996171591243742,3,699,0.07010014306151645,0.8666666666666667,0.9962849775705556,0.548128104446844
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,5,0.1,2813,2000,10187,9437,750,0.00035536602700781805,37,True,False,0.0,0.9917541965249829,3,846,0.11347517730496454,1.0,1.0,0.58559340335722
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,6,0.1,2886,2000,10114,9364,750,0.00034638032559750607,36,True,False,0.0,0.997923670160174,2,822,0.08759124087591241,1.0,0.9999888936351986,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,6,0.1,2886,2000,10114,9364,750,0.00034638032559750607,36,True,False,0.0,0.9950563575242238,2,822,0.08759124087591241,1.0,0.9999888936351986,0.5303896331817283
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,6,0.1,2886,2000,10114,9364,750,0.00034638032559750607,36,True,False,0.0,0.9927822819853668,3,879,0.14675767918088736,1.0,1.0,0.576607450069211
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,6,0.1,2886,2000,10114,9364,750,0.00034638032559750607,36,True,False,0.0,0.9964405774174412,2,661,0.0680786686838124,0.8213333333333334,0.9925454933788979,0.5531636592841606
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,6,0.1,2886,2000,10114,9364,750,0.00034638032559750607,36,True,False,0.0,0.9921890448882736,3,869,0.13693901035673187,1.0,1.0,0.5765380413288511
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,7,0.1,2908,2000,10092,9342,750,0.00034376074252320387,35,True,False,0.0,0.998315497423702,2,828,0.09420289855072464,1.0,0.9999995718261614,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,7,0.1,2908,2000,10092,9342,750,0.00034376074252320387,35,True,False,0.0,0.9957391993658343,2,828,0.09420289855072464,1.0,0.9999995718261614,0.5449922463337297
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,7,0.1,2908,2000,10092,9342,750,0.00034376074252320387,35,True,False,0.0,0.9914783987316687,3,816,0.08088235294117647,1.0,1.0,0.5722311979785969
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,7,0.1,2908,2000,10092,9342,750,0.00034376074252320387,35,True,False,0.0,0.9969282600079271,2,729,0.09190672153635117,0.8826666666666667,0.9959728109612502,0.5441750644074514
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,7,0.1,2908,2000,10092,9342,750,0.00034376074252320387,35,True,False,0.0,0.9921720174395561,3,812,0.07635467980295567,1.0,1.0,0.5754966557669441
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,8,0.1,2867,2000,10133,9383,750,0.0003486750348675035,36,True,False,0.0,0.9982236257771637,2,855,0.12280701754385964,1.0,0.9999988631922981,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,8,0.1,2867,2000,10133,9383,750,0.0003486750348675035,36,True,False,0.0,0.995460376986085,2,855,0.12280701754385964,1.0,0.9999988631922981,0.5277201717161749
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,8,0.1,2867,2000,10133,9383,750,0.0003486750348675035,36,True,False,0.0,0.9934866278496003,2,839,0.10607866507747318,1.0,1.0,0.5781362380341458
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,8,0.1,2867,2000,10133,9383,750,0.0003486750348675035,36,True,False,0.0,0.9966446264679759,2,656,0.11128048780487805,0.7773333333333333,0.9890558101531138,0.5584663475772229
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,8,0.1,2867,2000,10133,9383,750,0.0003486750348675035,36,True,False,0.0,0.9931905654791277,3,830,0.0963855421686747,1.0,1.0,0.5790759893417546
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,9,0.1,2848,2000,10152,9402,750,0.000351000351000351,36,True,False,0.0,0.9976359338061466,2,791,0.051833122629582805,1.0,0.9999916329858896,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,9,0.1,2848,2000,10152,9402,750,0.000351000351000351,36,True,False,0.0,0.9953703703703703,2,791,0.051833122629582805,1.0,0.9999916329858896,0.5470673512608353
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,9,0.1,2848,2000,10152,9402,750,0.000351000351000351,36,True,False,0.0,0.9878841607565012,3,826,0.09200968523002422,1.0,1.0,0.5894349635539795
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,9,0.1,2848,2000,10152,9402,750,0.000351000351000351,36,True,False,0.0,0.9954688731284476,2,767,0.16297262059973924,0.856,0.9900692051336595,0.5519954688731284
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,9,0.1,2848,2000,10152,9402,750,0.000351000351000351,36,True,False,0.0,0.987785657998424,3,827,0.09310761789600967,1.0,1.0,0.5905584613869188
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,10,0.1,2910,2000,10090,9340,750,0.00034352456200618345,35,True,False,0.0,0.9991080277502478,2,844,0.11137440758293839,1.0,0.9999984296930764,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,10,0.1,2910,2000,10090,9340,750,0.00034352456200618345,35,True,False,0.0,0.9969276511397424,2,844,0.11137440758293839,1.0,0.9999984296930764,0.5450832259663033
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,10,0.1,2910,2000,10090,9340,750,0.00034352456200618345,35,True,False,0.0,0.9901883052527255,3,839,0.10607866507747318,1.0,1.0,0.5814961347869178
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,10,0.1,2910,2000,10090,9340,750,0.00034352456200618345,35,True,False,0.0,0.9968285431119921,2,669,0.10911808669656203,0.7946666666666666,0.9909641684511064,0.5489411050545094
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,10,0.1,2910,2000,10090,9340,750,0.00034352456200618345,35,True,False,0.0,0.9904856293359762,3,821,0.08647990255785627,1.0,1.0,0.5820014866204163
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,11,0.1,2972,2000,10028,9278,750,0.0003363605785401951,34,True,False,0.0,0.998504188272836,2,816,0.08088235294117647,1.0,0.999997988072142,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,11,0.1,2972,2000,10028,9278,750,0.0003363605785401951,34,True,False,0.0,0.9960111687275628,2,816,0.08088235294117647,1.0,0.999997988072142,0.5331061029118468
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,11,0.1,2972,2000,10028,9278,750,0.0003363605785401951,34,True,False,0.0,0.9921220582369366,2,832,0.0985576923076923,1.0,1.0,0.5836245263262864
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,11,0.1,2972,2000,10028,9278,750,0.0003363605785401951,34,True,False,0.0,0.9964100518548066,2,711,0.0970464135021097,0.856,0.9932852626284401,0.5584858396489828
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,11,0.1,2972,2000,10028,9278,750,0.0003363605785401951,34,True,False,0.0,0.9934184284004787,2,827,0.09310761789600967,1.0,1.0,0.5842024331870762
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,12,0.1,2858,2000,10142,9392,750,0.0003497726477789437,36,True,False,0.0,0.9981266022480773,2,791,0.051833122629582805,1.0,0.9999995741056218,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,12,0.1,2858,2000,10142,9392,750,0.0003497726477789437,36,True,False,0.0,0.9949714060343128,2,791,0.051833122629582805,1.0,0.9999995741056218,0.5242731463222244
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,12,0.1,2858,2000,10142,9392,750,0.0003497726477789437,36,True,False,0.0,0.9927036087556695,3,792,0.05303030303030303,1.0,1.0,0.5804302898836522
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,12,0.1,2858,2000,10142,9392,750,0.0003497726477789437,36,True,False,0.0,0.9953658055610334,2,645,0.08837209302325581,0.784,0.9923819562748438,0.5439648984421219
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,12,0.1,2858,2000,10142,9392,750,0.0003497726477789437,36,True,False,0.0,0.99309800828239,3,798,0.06015037593984962,1.0,1.0,0.5826979885624137
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,13,0.1,2817,2000,10183,9433,750,0.00035486160397445,37,True,False,0.0,0.9984287538053619,2,844,0.11137440758293839,1.0,0.9999966076539807,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,13,0.1,2817,2000,10183,9433,750,0.00035486160397445,37,True,False,0.0,0.9950898556417559,3,844,0.11137440758293839,1.0,0.9999966076539807,0.5336341942453108
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,13,0.1,2817,2000,10183,9433,750,0.00035486160397445,37,True,False,0.0,0.9910635372679957,3,854,0.12177985948477751,1.0,1.0,0.576731071393499
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,13,0.1,2817,2000,10183,9433,750,0.00035486160397445,37,True,False,0.0,0.996661101836394,2,689,0.07982583454281568,0.8453333333333334,0.9929344499805647,0.5558632524796229
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,13,0.1,2817,2000,10183,9433,750,0.00035486160397445,37,True,False,0.0,0.9904743199450063,3,855,0.12280701754385964,1.0,1.0,0.5770528086025729
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,14,0.1,2800,2000,10200,9450,750,0.0003570153516601214,37,True,False,0.0,0.9986274509803922,2,822,0.08759124087591241,1.0,0.9999935097001764,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,14,0.1,2800,2000,10200,9450,750,0.0003570153516601214,37,True,False,0.0,0.9961764705882353,2,822,0.08759124087591241,1.0,0.9999935097001764,0.5378063235294117
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,14,0.1,2800,2000,10200,9450,750,0.0003570153516601214,37,True,False,0.0,0.991078431372549,3,841,0.10820451843043995,1.0,1.0,0.5837984558823529
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,14,0.1,2800,2000,10200,9450,750,0.0003570153516601214,37,True,False,0.0,0.9955882352941177,2,659,0.0637329286798179,0.8226666666666667,0.9942232804232805,0.5428328921568627
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,14,0.1,2800,2000,10200,9450,750,0.0003570153516601214,37,True,False,0.0,0.9908823529411764,3,841,0.10820451843043995,1.0,1.0,0.5837908088235294
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,15,0.1,2911,2000,10089,9339,750,0.00034340659340659343,35,True,False,0.0,0.9984141143820002,2,821,0.08647990255785627,1.0,0.9999978584430881,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,15,0.1,2911,2000,10089,9339,750,0.00034340659340659343,35,True,False,0.0,0.9954405788482505,2,821,0.08647990255785627,1.0,0.9999978584430881,0.5341464714045
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,15,0.1,2911,2000,10089,9339,750,0.00034340659340659343,35,True,False,0.0,0.9929626325701258,3,814,0.07862407862407862,1.0,1.0,0.5782516850034691
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,15,0.1,2911,2000,10089,9339,750,0.00034340659340659343,35,True,False,0.0,0.9953414609971256,2,593,0.09949409780775717,0.712,0.9856374344148195,0.5402516602240064
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,15,0.1,2911,2000,10089,9339,750,0.00034340659340659343,35,True,False,0.0,0.9948458717415006,2,819,0.08424908424908426,1.0,1.0,0.578670482703935
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,16,0.1,2981,2000,10019,9269,750,0.00033534540576794097,34,True,False,0.0,0.9983032238746382,2,841,0.10820451843043995,1.0,0.9999981299672744,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,16,0.1,2981,2000,10019,9269,750,0.00033534540576794097,34,True,False,0.0,0.9958079648667532,2,841,0.10820451843043995,1.0,0.9999981299672744,0.5313683251821539
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,16,0.1,2981,2000,10019,9269,750,0.00033534540576794097,34,True,False,0.0,0.9933127058588681,3,820,0.08536585365853659,1.0,1.0,0.5839971054995509
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,16,0.1,2981,2000,10019,9269,750,0.00033534540576794097,34,True,False,0.0,0.995508533785807,2,725,0.11586206896551725,0.8546666666666667,0.9912173913043478,0.547254117177363
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,16,0.1,2981,2000,10019,9269,750,0.00033534540576794097,34,True,False,0.0,0.9926140333366603,2,812,0.07635467980295567,1.0,1.0,0.5844214242938417
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,17,0.1,2858,2000,10142,9392,750,0.0003497726477789437,36,True,False,0.0,0.998619601656478,2,832,0.0985576923076923,1.0,0.9999981544576945,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,17,0.1,2858,2000,10142,9392,750,0.0003497726477789437,36,True,False,0.0,0.9960560047327943,2,832,0.0985576923076923,1.0,0.9999981544576945,0.5354792693748768
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,17,0.1,2858,2000,10142,9392,750,0.0003497726477789437,36,True,False,0.0,0.9943798067442319,2,861,0.1289198606271777,1.0,1.0,0.5808062512324985
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,17,0.1,2858,2000,10142,9392,750,0.0003497726477789437,36,True,False,0.0,0.9962532044961546,2,751,0.12516644474034622,0.876,0.992965644520159,0.5539803786235457
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,17,0.1,2858,2000,10142,9392,750,0.0003497726477789437,36,True,False,0.0,0.9933938079274305,3,827,0.09310761789600967,1.0,1.0,0.5836630349043581
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,18,0.1,2894,2000,10106,9356,750,0.0003454231433506045,35,True,False,0.0,0.9990104888185236,2,823,0.08869987849331713,1.0,0.9999984323785094,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,18,0.1,2894,2000,10106,9356,750,0.0003454231433506045,35,True,False,0.0,0.9964377597466851,2,823,0.08869987849331713,1.0,0.9999984323785094,0.5363937264991094
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,18,0.1,2894,2000,10106,9356,750,0.0003454231433506045,35,True,False,0.0,0.9916881060755987,3,829,0.09529553679131483,1.0,1.0,0.5818821986938453
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,18,0.1,2894,2000,10106,9356,750,0.0003454231433506045,35,True,False,0.0,0.9972293686918662,2,608,0.08388157894736842,0.7426666666666667,0.9909107880860767,0.5646159459726895
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,18,0.1,2894,2000,10106,9356,750,0.0003454231433506045,35,True,False,0.0,0.9908964971304176,3,838,0.10501193317422435,1.0,1.0,0.5828341084504255
synthetic,contaminated,ours_matched,none,none,ours_matched_none_contaminated,19,0.1,2903,2000,10097,9347,750,0.0003443526170798898,35,True,False,0.0,0.9986134495394672,2,837,0.1039426523297491,1.0,0.9999984308690846,
synthetic,contaminated,adadetect,score1d,logreg,adadetect_score1d_contaminated,19,0.1,2903,2000,10097,9347,750,0.0003443526170798898,35,True,False,0.0,0.9953451520253541,2,837,0.1039426523297491,1.0,0.9999984308690846,0.5286840150539764
synthetic,contaminated,adadetect,embed,logreg,adadetect_embed_contaminated,19,0.1,2903,2000,10097,9347,750,0.0003443526170798898,35,True,False,0.0,0.9892047142715659,3,833,0.09963985594237695,1.0,1.0,0.5842134544914331
synthetic,contaminated,adadetect,feat,logreg,adadetect_feat_contaminated,19,0.1,2903,2000,10097,9347,750,0.0003443526170798898,35,True,False,0.0,0.995543230662573,3,637,0.10204081632653061,0.7626666666666667,0.9880973574408901,0.5451190205011389
synthetic,contaminated,adadetect,embed_score,logreg,adadetect_embed_score_contaminated,19,0.1,2903,2000,10097,9347,750,0.0003443526170798898,35,True,False,0.0,0.9910864613251461,3,846,0.11347517730496454,1.0,1.0,0.584449217589383
synthetic,adversarial,ours_matched,none,none,ours_matched_none_adversarial,0,0.1,2794,2000,10206,9456,750,0.00035778175313059033,37,True,False,0.0,0.9988242210464433,2,807,0.07063197026022305,1.0,0.9999964749012973,
synthetic,adversarial,adadetect,score1d,logreg,adadetect_score1d_adversarial,0,0.1,2794,2000,10206,9456,750,0.00035778175313059033,37,True,False,0.0,0.9963746815598667,2,807,0.07063197026022305,1.0,0.9999964749012973,0.5334222761120909
synthetic,adversarial,adadetect,embed,logreg,adadetect_embed_adversarial,0,0.1,2794,2000,10206,9456,750,0.00035778175313059033,37,True,False,0.0,0.987164413090339,4,754,0.005305039787798408,1.0,1.0,0.5811286253184401
synthetic,adversarial,adadetect,feat,logreg,adadetect_feat_adversarial,0,0.1,2794,2000,10206,9456,750,0.00035778175313059033,37,True,False,0.0,0.9947089947089947,2,719,0.09735744089012517,0.8653333333333333,0.9940501269035533,0.5440261855771115
synthetic,adversarial,adadetect,embed_score,logreg,adadetect_embed_score_adversarial,0,0.1,2794,2000,10206,9456,750,0.00035778175313059033,37,True,False,0.0,0.9883401920438958,4,754,0.005305039787798408,1.0,1.0,0.5812090192043896
synthetic,adversarial,ours_matched,none,none,ours_matched_none_adversarial,1,0.1,2839,2000,10161,9411,750,0.00035211267605633805,36,True,False,0.0,0.9980316897943116,2,794,0.055415617128463476,1.0,0.9999980165055078,
synthetic,adversarial,adadetect,score1d,logreg,adadetect_score1d_adversarial,1,0.1,2839,2000,10161,9411,750,0.00035211267605633805,36,True,False,0.0,0.995571302037201,2,794,0.055415617128463476,1.0,0.9999980165055078,0.5352578978447003
synthetic,adversarial,adadetect,embed,logreg,adadetect_embed_adversarial,1,0.1,2839,2000,10161,9411,750,0.00035211267605633805,36,True,False,0.0,0.988091723255585,3,756,0.007936507936507936,1.0,1.0,0.5769464127546501
synthetic,adversarial,adadetect,feat,logreg,adadetect_feat_adversarial,1,0.1,2839,2000,10161,9411,750,0.00035211267605633805,36,True,False,0.0,0.9961617950989076,2,691,0.07525325615050651,0.852,0.9951461056210817,0.5452539858281665
synthetic,adversarial,adadetect,embed_score,logreg,adadetect_embed_score_adversarial,1,0.1,2839,2000,10161,9411,750,0.00035211267605633805,36,True,False,0.0,0.986910737132172,3,756,0.007936507936507936,1.0,1.0,0.5769313797854542
synthetic,adversarial,ours_matched,none,none,ours_matched_none_adversarial,2,0.1,2910,2000,10090,9340,750,0.00034352456200618345,35,True,False,0.0,0.9982160555004955,2,821,0.08647990255785627,1.0,0.9999941470378301,
synthetic,adversarial,adadetect,score1d,logreg,adadetect_score1d_adversarial,2,0.1,2910,2000,10090,9340,750,0.00034352456200618345,35,True,False,0.0,0.9944499504459862,2,821,0.08647990255785627,1.0,0.9999941470378301,0.5273070118929634
synthetic,adversarial,adadetect,embed,logreg,adadetect_embed_adversarial,2,0.1,2910,2000,10090,9340,750,0.00034352456200618345,35,True,False,0.0,0.9936570862239842,3,799,0.06132665832290363,1.0,1.0,0.5916390485629336
synthetic,adversarial,adadetect,feat,logreg,adadetect_feat_adversarial,2,0.1,2910,2000,10090,9340,750,0.00034352456200618345,35,True,False,0.0,0.9958374628344896,2,602,0.044850498338870434,0.7666666666666667,0.9919696645253391,0.5482621407333994
synthetic,adversarial,adadetect,embed_score,logreg,adadetect_embed_score_adversarial,2,0.1,2910,2000,10090,9340,750,0.00034352456200618345,35,True,False,0.0,0.9925668979187314,3,782,0.04092071611253197,1.0,1.0,0.5941161050545094
synthetic,adversarial,ours_matched,none,none,ours_matched_none_adversarial,3,0.1,2900,2000,10100,9350,750,0.0003447087211306446,35,True,False,0.0,0.9985148514851485,2,891,0.15824915824915825,1.0,0.9999954367201426,
synthetic,adversarial,adadetect,score1d,logreg,adadetect_score1d_adversarial,3,0.1,2900,2000,10100,9350,750,0.0003447087211306446,35,True,False,0.0,0.9962376237623762,2,891,0.15824915824915825,1.0,0.9999954367201426,0.5410359405940595
